EOS2-20ms-4000f001_MIA-Filter-10pt.trc 
frametime: 0.02 s
pixelsize: 0.16 micron
minpointMSD: 10
pourcentage_trajectory: 60
number length(frame) intersect_MSD(um^2) Dinst(micron^2/s)  D(micron^2/s)   V(micron/s) r2/t(um2/s) R-square(D,V)   adjusted_R-square(D,V)  Vseul   R-square(Vseul) adjusted_R-square(Vseul)    Dseul R-square(Dseul)   adjusted_R-square(Dseul)  a2   A2 b alpha R-square-alpha 
13580              19   -0.0338240958      1.25183881      1.18158424 2.80902698e-005      1.91182383     0.999185377     0.999094863      4.97266056     0.977127667     0.975493929      1.18159043     0.999185377     0.999127189    0.0223619064     0.914422519      5.65284461      1.12245564     0.998248227
13630              21  -0.00630513913     0.169717388     0.164661573     0.248647086     0.773740452     0.999432182     0.999375401      1.66485858     0.987366415     0.986551345     0.168133488     0.999426382     0.999389374     0.111779151     0.638270652      0.85029861      1.17720916     0.999018854
13713              18    0.0402860488     0.263894785   -0.0288897187      3.44471997      3.16162703     0.997734414     0.997462543      3.36692625     0.997631454     0.997449258      0.57028262     0.949941349     0.946090684   0.00770890159     0.969634369      6.18588799      1.59184219     0.985291686
13736              28    0.0222251394     0.279893629     0.166095808  6.1259019e-005     0.764216103     0.973314176     0.971408045      1.34801012     0.910377446     0.906208955      0.16608755     0.973314174     0.972072973    0.0145096065     0.943609844     0.482083579     0.686136439     0.988655402
13782              23  -0.00622417511     0.312670044      0.15366379      2.57467595      2.13164894     0.999828057     0.999812426      3.11143947     0.998811033     0.998741094     0.441930391     0.995684175     0.995430303    0.0316380973     0.881090759      5.33425495       1.6361106     0.999931657
13801              21    0.0612132423     0.656473791   0.00470117777      5.38264975       5.4914135     0.999621694     0.999583863      5.39079747      0.99962153     0.999597113      1.33451362      0.98427617     0.983261729   0.00130056702     0.994811237      17.0494905      1.63928097      0.99674929
13819              20    0.0295364467     0.393785493     0.271456732 3.32075977e-005      1.66979483     0.988136574     0.986865493      2.14651836     0.940828482     0.936747688      0.27146239     0.988136574     0.987318406     0.514611285     0.102701544     0.738132648     0.696766571     0.995915931
14084              24   0.00889530588     0.214915627    0.0202170711      2.77200197      3.09250503     0.999917527     0.999910458      2.82984599     0.999864597     0.999857075     0.449037365      0.97325694     0.971771215  0.000645624538     0.997420833       6.1978935      1.81050959     0.999002176
14288              17  0.000452259024     0.402970716     0.110043328       3.4156416      3.86241899     0.999940525     0.999932767      3.75785667     0.999477706     0.999434182     0.577029966     0.990608022     0.989825357   0.00298256102     0.988140604      8.28871818      1.69349039     0.999722642
14334              17   0.00763357611     0.352336412     0.281731733 2.47039511e-005      1.74110524     0.986758483     0.985031328      2.30721652     0.927902548     0.921894427     0.281722942     0.986758482     0.985655023   0.00735927953     0.970991418     0.918070634     0.868675089      0.99055887
14340              32   0.00789839477     0.263903029     0.219384052     0.957577989      1.02189533     0.996976616     0.996787655       1.8225527     0.974422886     0.973378922     0.298150041     0.993889338     0.993639923     0.504021088     0.108747322       1.3235451      1.09203625     0.995276124
14476              22   -0.0269730258     0.552085352     0.568327106 1.45287663e-005      1.26973568     0.995951414     0.995571859      3.32204363     0.969153431     0.967283942     0.568331437     0.995951414     0.995706045   0.00844334754     0.966789788       2.9545561      1.18697008     0.993979338
14691              19   -0.0117262521     0.441111072     0.415186608 2.72400791e-005     0.255832993     0.998335194     0.998150216      2.97752289     0.969577043     0.967403975     0.415181098     0.998335194      0.99821628    0.0297876877     0.887642674       1.9192802      1.10524284     0.996793174
14696              17    0.0395040221     0.227212363  -0.00798008059      2.44078215      1.90270099     0.968384015     0.964260191      2.40539726     0.968348391     0.965710757     0.248799354      0.92857318     0.922620945    0.0659619095     0.767795924      1.05744133     0.985888826     0.922648911
14736              59    0.0101770109    0.0446661431    0.0319379415     0.486440531     0.257519442     0.998602247     0.998557158     0.656665495     0.989191629     0.988961664    0.0679236232      0.98570657     0.985402454    0.0151520469     0.941187572     0.300536333       1.1449826     0.990248001
14825              34  -0.00659723034     0.502851991     0.212131208      3.63150878      8.20291068     0.999863892      0.99985604      3.94222984     0.999159899     0.999128197        1.278516     0.980037749     0.979284456   0.00748158356     0.970516483      12.2203509       1.7718467     0.999909064
14904              95   0.00346857997   0.00589042971   0.00266446851    0.0527476807    0.0628155943     0.993090447     0.992954966     0.111105255     0.959530107     0.959004524   0.00337450031     0.990436941     0.990312745     0.284737911     0.309956918    0.0159984571     0.618795607     0.956756483
14950              18    0.0240111442     0.410350332     0.284424413 1.01958437e-005      2.17123599     0.962215639     0.957681515      2.20025198      0.85810223     0.847187017     0.284433609     0.962215638     0.959309149    0.0454205339      0.83376205     0.740095191     0.715302422     0.979817563
14997              30    0.0110947322     0.708094664    0.0753662507      5.02168418      12.9275037     0.999987094     0.999986234       5.1217436     0.999969427     0.999968098      1.66698409     0.990728826     0.990325731  0.000259618072     0.998962067      22.5783789      1.87249227     0.999888018
15038              21   -0.0265993898     0.523278348     0.480277527      1.55528558      2.23176679     0.999306381     0.999237019      3.38536985     0.997090743     0.996903049     0.588615009     0.999172662     0.999119285  0.000210300045     0.999159154      4.79336661      1.44663602     0.999084352
15060              20   0.00559473747     0.160559158    0.0406532424      2.19619734      1.21419335     0.999891717     0.999880116      2.35956819     0.999391177     0.999349189     0.278159949      0.98093032      0.97961517    0.0108132809     0.957667336      3.16599491      1.62861218     0.998212357
15075              17   0.00722444608     0.231036476     0.145132989      1.85378526     0.905807433     0.999211654     0.999108826      2.52579383     0.993071497     0.992494121     0.303126614     0.991407246     0.990691184    0.0800087596     0.725625989      1.75785072      1.21395976     0.996352505
15088              17   0.00152407331     0.301848371     0.197866693      2.12634409     0.877218635     0.999110794      0.99899481      2.96314382     0.992410925     0.991778503     0.389194036     0.992233343     0.991586122    0.0250051147     0.904800038      2.77538385       1.3265079     0.998547759
15204              27     0.029301758     0.400492976     0.195005018  2.0893623e-005      3.07054063     0.961572502     0.958690439      1.54354419     0.917379595     0.913349331       0.1950115     0.961572501     0.959697989    0.0126932595      0.95049178     0.552371473      0.65741329     0.975442942
15227              20    0.0183657138     0.522317438     0.291245167 2.73698477e-005      3.79267499     0.956212571      0.95152106      2.03610525       0.8865974     0.878776531     0.291256744      0.95621257     0.953192747   0.00750821559     0.970413095     0.865368138      0.77514167     0.968379004
15248              34    0.0347473657     0.160766835    0.0779575496     0.152226452      2.83382318     0.961705791      0.95949651     0.924716454     0.917316562     0.914196432    0.0799691747     0.961673943     0.960227677    0.0608616042     0.783685355      0.22799126     0.482439042     0.955593346
15396              21    0.0345289696     0.640964804     0.226946041      3.45141927      5.18407546     0.998798872     0.998678759      4.02756822     0.997786109     0.997643277     0.799276615     0.991738438     0.991205434   0.00250213022     0.990041377      5.16328408      1.27258751     0.995474741
15400              17     0.007386744    0.0437269352    0.0132851608 1.89513272e-005    0.0397824283     0.587057989     0.533195988     0.452876081     0.383520978     0.332147726    0.0132787478     0.587057671      0.55264581     0.246601731     0.365252995    0.0305097701     0.356908845     0.744015136
15443              44   0.00525931982     0.212787112     0.196096889 2.27474424e-005     0.866376286     0.996937266     0.996802145      1.27674202     0.961066136     0.959937618      0.19610109     0.996937266     0.996848491     0.374141357     0.207438655     0.722181341     0.906628693     0.997941186
15491              21  -0.00897630933     0.657678613     0.385916552      3.57808695      6.12943404     0.999582334     0.999540567      4.53342527     0.997067063     0.996877841     0.946903031     0.993541302     0.993124612    0.0212660931     0.918441379      9.55728149      1.53451439     0.999702066
15639              17    0.0078874834     0.699338661     0.115609467       4.8489909      6.42085836     0.999978331     0.999975504      5.11974291      0.99982664     0.999812193      1.03132358     0.989506308     0.988631834   0.00016248228     0.999350282      16.3326973      1.73256711     0.999495045
15656              21    0.0157506297     0.427218016    0.0351203147      3.96969274      6.48942736     0.999831683     0.999814851      4.04849601     0.999797446     0.999784379     0.821969444     0.980711711     0.979467305  0.000409158188     0.998364706      11.9692397      1.78579017      0.99891659
15658              23  0.000944587867     0.482870604     0.267182737      2.90409607      3.53759897     0.999715951     0.999690128      3.56774502     0.996434694      0.99622497     0.743765619     0.988223037     0.987530275    0.0195049078     0.924937115       6.3096437      1.50444826     0.998939398
15666              36   -0.0014952956     0.255679314     0.229540155 5.78720214e-005     0.849057133     0.998233919     0.998137587       1.5107947     0.978904188     0.978150766     0.229541441     0.998233917     0.998170842     0.197049978     0.449937782     0.878961935       0.9798415     0.998241532
15731              44   -0.0251463145     0.607150485      0.69757578     0.715770045      3.51610913     0.999581417      0.99956295      2.76971806     0.989577577     0.989275478     0.739747106     0.999538148     0.999524761     0.106787353     0.651300411      3.36974561      1.13234025     0.999541755
15830              24    0.0292233133     0.485779166     0.263799993 2.00194969e-005     0.163063359     0.964505364     0.961462967      1.88707975     0.882906867     0.876401693     0.263797735     0.964505364      0.96253344       0.1010943     0.666467904     0.758538951     0.701684141     0.981602318
15831              37   0.00914339033     0.528111735  -0.00211196793      4.68351696      15.8338686     0.999993799     0.999993472      4.68086575     0.999993783     0.999993569      1.56088487     0.989980507     0.989635008 6.84902385e-006     0.999972604      21.1896071      1.96565953     0.999971136
15943              32   0.00244865577     0.623995977     0.170527264      4.16715756      13.4106775     0.999979271     0.999977975      4.42735838     0.999804994     0.999797035      1.35040776     0.990616066     0.990233048  0.000424774989     0.998302343      15.5653221        1.804663     0.999833966
15974              25  -0.00421350383      0.59307844     0.214033766      3.93514936      6.42453584     0.999935076     0.999929812      4.35003634     0.999613284     0.999592931      1.05505485     0.994237337     0.993934039   0.00607183899     0.976004917      12.7946495      1.72065303     0.999894311
16013              24    0.0253542589     0.143387251     0.122515388     0.833617197     0.760247495     0.992954098     0.992350164      1.60610449     0.964927372     0.962978892     0.163993305     0.989454223     0.988868347    0.0314434442     0.881777739     0.514673165     0.766551986     0.977947249
16029              17   0.00480944789     0.278482769     0.273298877      1.57896249     0.502948284     0.997321003     0.996971568      3.03185061     0.986874799     0.985781032      0.36667964     0.995992721     0.995658781   0.00277738507     0.988951915      1.71413805      1.07923976     0.996596486
16050              20   0.00714567372     0.345621951     0.344095826 3.00410116e-005     0.723266935     0.984572146     0.982919161      2.44000239     0.933871794     0.929311228     0.344100272     0.984572145     0.983508155      0.34004446     0.242544227      1.15833271     0.894741665     0.986383995
16053              34   -0.0388054977     0.781597466     0.865901545 3.52635117e-005       2.1042902     0.997259846      0.99710176      3.14255555     0.980375581     0.979635037     0.865908683     0.997259846     0.997156444     0.176979617     0.488971221      3.83417442      1.11986181     0.996211946
16145              26    0.0373825437     0.327349217     0.127447423  3.5653954e-006    0.0536185043     0.924233397     0.918251823      1.23206498     0.811133762     0.801448314     0.127438752     0.924233388     0.920347921    0.0198180775     0.923778744     0.339534814     0.530514763     0.963771009
16165              18    0.0430613313     0.364305463     0.196415532 5.28377624e-005     0.192433794      0.90671734     0.895523421      1.80500813     0.795718622      0.78000467     0.196436461     0.906717332     0.899541742    0.0452581624     0.834304859     0.468655356     0.549886199     0.947401946
16179              25    0.0135895292      0.33175617     0.261404332 1.66031441e-005      2.13373418     0.963375608     0.960406062      1.86877755     0.884433135     0.878350668     0.261412715     0.963375607     0.961448008     0.192869143      0.45782794     0.796178727      0.79325653     0.973288901
16322              24    0.0131820826    0.0223383774   0.00267001184 5.58601737e-005     0.159147814     0.211883969     0.144331166     0.176064241     0.188179771     0.143078647   0.00266729594     0.211883375     0.168099118    0.0854793334     0.709812969    0.0180071241    0.0927299379     0.262331482
16461              17    0.0329785014     0.438533403    0.0385998293      3.67827203      7.03285048     0.996713993     0.996285384       3.7909661     0.996604512     0.996321555     0.615310519     0.970392374     0.967925072   0.00411058079     0.983692023       5.8040857       1.4590213     0.985956265
16485              17    0.0200419492     0.249284665   -0.0207311453      3.37834821      2.95461362     0.996857767     0.996447911      3.32034971     0.996804342     0.996538037     0.555577397      0.95328964      0.94939711   0.00336320034     0.986637233      7.52710478      1.74828442     0.992361342
16503              17    0.0292198016    0.0193377307  -0.00527716234 8.03909128e-005    0.0456519286      0.34164219     0.255769432 2.20593813e-005     0.205241171     0.139011268  -0.00527451458     0.341641721     0.286778531     0.664568355    0.0406073637    0.0237675633   -0.0452764283     0.258767372
16542              20   0.00215796628     0.360666809    0.0768316314      3.27793535       4.1418811     0.999783688     0.999760512       3.4837156     0.999540788     0.999509118     0.616760173      0.98659834     0.985674087  0.000241092229     0.999036096      8.41280173      1.76012705      0.99947646
16655              28   0.00710804892    0.0218385112    0.0113406809     0.289673678     0.120887194     0.980534624     0.979144241     0.465250629     0.960565146     0.958730966    0.0180118333     0.973091233     0.971839662     0.106513913     0.652021369    0.0532066979     0.581730836     0.938712706
16706              19    0.0220515549     0.520626909   -0.0231680906      4.61879222      4.43298428     0.999956999     0.999952221      4.56749523     0.999945797     0.999941925     0.921959096     0.979296703     0.977817896  0.000362744651     0.998550073      15.5079701      1.81256278      0.99884016
16714              21    0.0439218084     0.470731346     0.234424118 2.28555947e-006     0.374342682     0.919952866     0.911948152      1.75992296     0.816382141     0.804535827     0.234423567     0.919952864     0.914788533     0.129738012     0.593395906     0.618528512     0.604472488     0.955528578
16765              21    0.0432363901     0.535124845     0.396900693 1.54649403e-005     0.727051723     0.972523193     0.969775513      2.47444613     0.916876614     0.911513815     0.396897646     0.972523193     0.970750496    0.0410437036     0.848515356      1.08017282     0.691046423     0.982900501
16818             300   0.00894007506    0.0101969798   0.00142157822    0.0335624702    0.0375736598     0.978118354     0.977985738    0.0534329424     0.954089231     0.953904107    0.0022597865     0.968905557     0.968780177    0.0856609285     0.709293761    0.0184556018     0.506936005     0.919871756
16843              24   0.00875335914     0.267514525     0.216020471     0.997224717     0.358317958     0.998548685     0.998424286      2.10557764     0.973942446     0.972494804     0.273086102     0.996669007     0.996483952   0.00618298148     0.975571095       1.1583276      1.02848469     0.996860712
16851              23   -0.0179994403     0.392249635     0.414526835     0.615112729      1.19184039     0.998309585     0.998155911      2.73087027     0.991693464     0.991204844     0.433437236     0.998293456     0.998193071    0.0324760877     0.878139293      2.47553957      1.24456824     0.998137274
16928              20  -0.00416210518     0.304572945     0.220125125      2.25824875      2.89130685     0.998079043     0.997873226      2.97113521      0.99169589     0.991123193     0.501288782     0.986927576     0.986026029    0.0296677162     0.888069121      3.93407397      1.45654734     0.998559238
16951              17   0.00242866968     0.506461299   -0.0125551266      4.53608709      5.68208209     0.999997667     0.999997363      4.50233778      0.99999592      0.99999558      0.75809207     0.992754583     0.992150799 3.80788057e-006     0.999984769      19.5521434      1.97877059     0.999982042
17002              19    0.0121613167     0.363456627    0.0663446077      3.52681777      4.96906077     0.999424269     0.999360299      3.71181153     0.999141888     0.999080594     0.622033524     0.977454568      0.97584418     0.001158639     0.995376165      8.43883062      1.69362234     0.997609159
17011              20    0.0898890512     0.836469868      0.29110742 2.27442646e-005     0.830733368      0.81518584     0.795384323      2.01301731     0.709674207     0.689651739     0.291113827     0.815185839     0.802440035    0.0789898581     0.728608276     0.694429863     0.475008389     0.875515724
17024              20    -0.053476529      1.17365021      1.20406657     0.585505838      3.32967559     0.998042513     0.997832782      4.69470008     0.989245826     0.988504159      1.22150855       0.9980405     0.997905362     0.079907677     0.725921329      6.92179529      1.24244736     0.997632159
17097              22  -0.00976625871     0.708831592      0.53363203  2.7768499e-005    0.0539637332     0.977633268     0.975536387      2.87504018     0.927627923     0.923241737     0.533644298     0.977633268     0.976277708    0.0182081508      0.92974897      1.95069215     0.975098594     0.976810131
17276              21   0.00269085167     0.570180332   -0.0148987873      4.86032191      7.43994824     0.999999258     0.999999184      4.83193034     0.999998072     0.999997948      1.09758344     0.992390293     0.991899344 1.67702018e-005     0.999932921      23.0950581      1.99171019      0.99999371
17335              18     0.053967948     0.454549721     0.410230332      2.19477036      3.95686952     0.996185358     0.995727601      3.56812117     0.988363729     0.987468631       0.6399164     0.993519975     0.993021511    0.0140800031     0.945233082      2.08845963     0.845224724     0.990551575
17394              18 -0.000463695708     0.229483696    0.0494103711      2.70843473      2.30238227      0.99992389     0.999914757      2.88455832     0.999643559     0.999616141     0.371722181     0.986309477      0.98525636    0.0023486328     0.990649442      6.00409433      1.80027101     0.999873086
17473              19  -0.00298621159     0.496540977     0.237684707      3.14485047       3.1556312     0.999968814     0.999965349      3.75650031     0.997574551     0.997401304     0.767845329     0.987458598     0.986562783    0.0136204349      0.94697261      7.23516629      1.56432503     0.999635183
17512              17   0.00447182263    0.0999328872    0.0897535163     0.706701558      0.11185374     0.994393616     0.993662349      1.49650306     0.962816276     0.959717632     0.113424289     0.992002525     0.991336069   0.00568852868     0.977502568     0.463430146     0.998315983      0.99147277
17518              19    0.0119882325   0.00839054101   0.00209683053     0.399433001     0.132270839     0.781838758      0.75759862     0.439592712     0.780584606     0.764912078    0.0115313436     0.755114789     0.737622988     0.129385893     0.594246568    0.0293033183     0.267048471     0.659047596
17583              19    0.0127647344    0.0682722513    0.0326917625 1.99793536e-005   0.00223560425     0.857776552     0.841973946     0.743078014     0.778008203     0.762151646    0.0326937725     0.857776547     0.847617729   0.00368699366     0.985360178    0.0748905725     0.426455464      0.88860898
17603              18    0.0249530936     0.726742642     0.441478033 3.92296976e-005      1.72518448     0.950105702     0.944118386      2.77257013     0.875099441     0.865491706     0.441473754     0.950105702     0.946267679     0.353433097     0.228219818      1.21576232     0.761810844     0.962433843
17614              41   -0.0117020515     0.367773396     0.376277121 5.36356161e-006     0.332655066     0.998999358     0.998951708      1.93692938     0.981735924     0.981165172     0.376270877     0.998999358     0.998968088     0.109002847     0.645486718      1.55961578      1.06025831     0.998476113
17692              20  0.000494467425     0.365886202     0.358036056 4.36195582e-005       3.8124143     0.996317532     0.995922982       2.4153576     0.965653378     0.963284646     0.358038392     0.996317532     0.996063569    0.0534007665     0.807504659      1.40047818     0.987314047     0.996363334
17703              21   0.00422795171     0.293003475    0.0570353641      3.02776432      1.92052938     0.999985303     0.999983834      3.20952025     0.999821566     0.999810054     0.455580616     0.990729742     0.990131661  0.000236178896     0.999055731      6.83465534      1.74085652     0.999608756
17731              18    0.0109812896    0.0537039908    0.0169148903 2.20292621e-005    0.0965520652     0.606273526     0.559026349     0.527100061      0.49602395     0.457256562    0.0169189167     0.606273496     0.575986842    0.0840208828     0.713996114     0.039378879     0.321226634     0.707608601
17736              30       0.0207369               0     0.001495645    0.0852819994    0.0343149642     0.106145759    0.0465554765      0.14711695     0.103880135    0.0649184017   0.00221626591     0.105596444    0.0667093332    0.0207929818     0.920181895    0.0243163067    0.0485580364    0.0827744374
17794              23    0.0306920382     0.320074749     0.160128156 1.47018783e-005     0.361920003     0.953948803     0.949762331      1.45780079      0.83970579     0.830276719     0.160119357     0.953948797     0.951239902     0.334287288     0.248928718     0.443160351     0.632317391     0.972828793
17813              18    0.0109338941      0.42490012     0.265065423      2.17014174      2.72898175     0.998626756     0.998461967      3.13491975     0.991752192     0.991117745     0.493000179     0.993187124     0.992663057    0.0621174612     0.779743572      2.62200539      1.16957563     0.995951837
17840              19  -0.00685912103      0.51303232     0.481745971 3.27520282e-005      1.00900669     0.995890609      0.99543401      2.98410603     0.968424759     0.966169385     0.481742784     0.995890609     0.995597081    0.0717798827     0.750050925      2.00133966      1.03693998     0.995400387
18045              28    0.0103310019     0.302262343     0.246473536 2.91594358e-005     0.333011175     0.993993419     0.993564377      1.72793662     0.945352042     0.942810277     0.246480447     0.993993418     0.993714042   0.00752156287     0.970361284     0.835204294     0.853652271      0.99713837
18106              27    0.0123726603     0.424062047     0.035067357      3.94510657      5.38704142     0.999965477     0.999962887      4.02141714     0.999952363      0.99995004     0.750548159     0.993113076     0.992777128 6.05875788e-005     0.999757679      12.6690931      1.82260935      0.99975186
18237              24    0.0195584797     0.351854043     0.136027816 3.58019088e-005     0.512645835     0.945023054     0.940310745      1.36122575      0.86044148     0.852688228     0.136027887     0.945023051     0.941968776     0.434620951     0.155312026     0.375734606     0.651211369     0.966836187
18315              21    0.0142617327     0.336362499    0.0511954787      3.31278647      3.83140463     0.999788423     0.999767265      3.44958384     0.999696416      0.99967683     0.586465596     0.988364116     0.987613414   0.00140880787     0.994380613      7.05015964      1.65127024     0.998666888
18333              19    0.0158658014     0.491674714   -0.0246849824      4.59940702      5.88198342     0.999846284     0.999829204       4.5485635     0.999830192     0.999818063      1.00038015     0.969413736     0.967229003  0.000296044474     0.998816523      17.6948245      1.89462792     0.999165334
18403              26   0.00397067499     0.229731141     0.109950091      2.10877027      2.18276638     0.999942528     0.999937991      2.49650481     0.998789301     0.998727214     0.342713375      0.99386519     0.993550585   0.00428499804     0.983005959      3.08416911      1.50280846     0.999357393
18483              18    0.0183831272     0.722761025     0.507603967      3.33028773     0.984720948     0.998733499     0.998581519      4.60174773     0.992925487     0.992381294      1.01794562     0.992311921      0.99172053    0.0165179231     0.936058127      6.23899492      1.24515611       0.9970456
18576              18   0.00905448197     0.312308992     0.230471387 1.14167285e-005     0.966414237     0.988001544      0.98656173      2.04291154     0.951891041     0.948190352     0.230462355     0.988001544     0.987078586     0.005076779     0.979897514     0.748673562     0.855343295     0.989503044
18596              73    0.0286740183    0.0647209679   0.00169364906 1.21917521e-005   0.00252143703     0.173450692      0.15225712    0.0669070594     0.125576541     0.110755804   0.00170427441     0.173447228     0.159437859    0.0251804302     0.904165358    0.0353214354    0.0967666496     0.333587947
18613              30 -0.000495644248     0.225844143     0.239099683      0.76555695      1.13742075      0.99865496     0.998565291      1.89204537     0.991185299     0.990802051     0.280850634     0.998399728     0.998330151    0.0161171326     0.937560384      1.25975164      1.08851727     0.998751712
18668              18   -0.0688484492      1.74055155      1.52915838 4.66353289e-005      3.57438782     0.998711504     0.998556884      5.23738075     0.979154884     0.977551413      1.52915195     0.998711504     0.998612389     0.104481235     0.657404537      7.90190445      1.19319281     0.996531073
18706              23    0.0236182127    0.0907607708   0.00697722847  3.5564277e-005   0.00709010662     0.301428628     0.237922139     0.312583917     0.296105942     0.254700409    0.0069698487      0.30142855     0.260336112     0.078934519     0.728770588    0.0357300472     0.117127438      0.33799375
18989              21    0.0171261126    0.0460569507    0.0370762664 4.39934363e-007     0.170086846     0.874924186     0.862416605     0.702541888     0.752011805     0.736012567    0.0370700767     0.874924137     0.866854727     0.287196105     0.306655455    0.0959341842     0.440220808     0.916784757
19030              20    0.0148017939     0.222067475    0.0208560719      2.72825669      4.28812509      0.99948823     0.999433397      2.79817538     0.999421341     0.999381434     0.395821437     0.976376462     0.974747253   0.00125496454     0.994992718      4.43343684      1.62543612      0.99536343
19225              18   0.00837331661     0.796894176     0.109334998      5.14398389      7.86892838     0.999885656     0.999871935      5.32426442     0.999751842     0.999732753      1.55531207     0.975075192       0.9731579  0.000780347663     0.996883475      21.6960563      1.82048149      0.99956872
19253              17    0.0155312604     0.642983811     0.481226801 7.97342518e-006      3.21575965     0.992158558     0.991135761       3.0859235      0.96776783     0.965081816     0.481229189     0.992158558     0.991505104     0.390496348     0.192137847      1.52292664     0.849161653     0.994464709
19300              19    0.0624190473     0.342086985    0.0411365242 1.72053147e-005     0.956912142     0.402187049     0.335763387     0.713872769     0.316807066      0.26800757    0.0411383036     0.402187038     0.359486112     0.282063631     0.313583172     0.136333879     0.216294124     0.518816663
19336              17   -0.0121987495      1.06357208     0.959644962 2.35131978e-006      1.69860657     0.999486067     0.999419032      4.52018822     0.987846092     0.986833267     0.959645015     0.999486067     0.999443239   0.00534507979      0.97884642       4.0906671      1.04953491     0.999193488
19353              18    0.0367403473     0.121829216   0.00749095221 3.04879025e-005    0.0448752031     0.383020431     0.308982883     0.195513818     0.358593204     0.309254219   0.00748349609     0.383020396     0.335560427    0.0178594023     0.931047292    0.0525171089     0.114941287      0.44427584
19420              20    0.0176632717     0.150687631     0.120771446 1.99547181e-005     0.638112376     0.976382912      0.97385251      1.44260332     0.942410438     0.938438744     0.120763628     0.976382909     0.974754144    0.0217911087     0.916513726     0.320149471     0.652330371     0.975827382
19451              24    0.0504684762      1.07026132      0.47123169 1.03603637e-005      1.88648712     0.973531554      0.97126283      2.48174802     0.942771759     0.939592412     0.471226662     0.973531554     0.972061084    0.0523540039      0.81090233      1.35844363     0.696121895     0.982963805
19459              23     0.017917086     0.312506125    0.0842325213       2.9295409      3.05841497     0.999701074     0.999673899      3.15602725     0.999149371     0.999099334      0.56422041      0.98013275     0.978964088   0.00435315297     0.982738003      5.55656172      1.58386237     0.996785392
19541              19  -0.00821495147      1.01551439     0.641579426      3.14759165      4.39897211     0.999082454     0.998980505      4.73089854     0.994881526     0.994515921      1.12316766     0.996577667     0.996333214   0.00594903297     0.976484489      7.23436189        1.302016     0.998695246
19546              34    0.0497453748     0.412121235     0.155129708 2.45456158e-005     0.186605433     0.823238384     0.813040598      1.12775755     0.739604857     0.729778625     0.155127844     0.823238382     0.816568132     0.259324165     0.345924465      0.47087147     0.542084518     0.865453656
19634              24  -0.00250806317     0.300775876     0.275110586 3.50335173e-005     0.670412763      0.98641646     0.985252156      2.00371743     0.944460842     0.941375333     0.275109521     0.986416459     0.985661818    0.0603276116     0.785367254       1.0290981     0.973192761     0.986368279
19694              59 -0.000475329302     0.165732253     0.174459348     0.860096509     0.732764152     0.999171623     0.999144901      1.40949795     0.993479749      0.99334102     0.259565518      0.99752331     0.997470615   0.00122564414     0.995109419      1.27149297      1.23211169     0.999222906
19732              18    0.0267615396     0.575935889     0.529546657  2.2532519e-006       1.4673484     0.997065948     0.996713862      3.14758368     0.972109286     0.969963846     0.529539626     0.997065948     0.996840252    0.0938693399      0.68620006      1.67138867     0.829665577     0.996979519
19736              34    0.0188492651      0.47819112     0.319498202 2.69039332e-005       2.0005238     0.988114519     0.987428819      1.89958978     0.965587666     0.964289087     0.319491631     0.988114519     0.987666011    0.0453328742     0.834055054      1.05594926     0.814531146     0.990687183
19877              17  -0.00818625422     0.272509753     0.248507623 1.71205848e-005     0.228686771     0.996696675     0.996265807      2.28397715     0.975940314      0.97393534     0.248503566     0.996696675     0.996421398   0.00763995026     0.969901852      1.20664888      1.13989858     0.994818309
19901              21    0.0102396375     0.212174604    0.0914147866       2.0752538      1.59110673     0.999601036     0.999561139       2.4175713     0.997811179     0.997669965     0.320253776      0.98705544     0.986220307    0.0118685761     0.953632851      2.39581492      1.38195691     0.996068741
19912              26   -0.0226245724     0.533863872     0.532369217      1.95702383      4.73929772     0.998467036     0.998346013      3.25758506     0.991537468     0.991103492     0.811855252     0.996412489     0.996228514    0.0729352442     0.746574443      4.76727329      1.32828016     0.998851134
19926              25   0.00175071985     0.306772435    0.0919410612      2.92437424      3.62800256     0.999970169     0.999967751      3.20032022     0.999733982     0.999719981       0.4746463     0.994996147     0.994732786  0.000595754861     0.997619817      6.44675182      1.69311232     0.999831375
20079              17   -0.0181667307     0.659671911     0.620525441  1.0906176e-005      1.45900697     0.992910162       0.9919854      3.54612205     0.961045527     0.957799321     0.620522325     0.992910162     0.992319342    0.0116309057     0.954540009      2.80051798      1.09736063     0.990635483
20094              17  -0.00460650251     0.436320046     0.268739816      2.57651428      1.90457308     0.999725225     0.999689385      3.59782026      0.99576958     0.995417045     0.527283667     0.995718952     0.995362198   0.00568666879      0.97750984      4.38791736      1.40327954     0.999423536
20099              24 -0.000470212548     0.102236787    0.0769496953     0.813256798      0.08424085     0.999561204     0.999523593      1.41224289     0.994063324     0.993733509     0.112094447     0.998316149     0.998222602     0.021123148     0.918966912     0.605811208      1.19975761     0.999259819
20137              31    0.0298080412     0.145682927    0.0928374569 2.00756796e-006     0.521161634     0.962670045     0.960287282     0.997446245     0.898662038     0.894439623    0.0928412798     0.962670043     0.961114628    0.0179571659     0.930683156     0.270840282     0.558120382     0.966133153
20166              33    0.0129216589     0.341237774     0.169492025       2.1068863      4.26566085     0.999221151      0.99917442      2.53262938     0.995471748      0.99529417     0.518884321     0.981848297     0.981136465    0.0171864726     0.933557557      3.72630759      1.49054841     0.996665626
